 Program starts execution at  2017-08-29 21:00:57 
Authentication starts  2017-08-29 21:00:57 
Authentication completed  2017-08-29 21:00:57 
Starting time for searching pages which have the given search string  Batman 2017-08-29 21:00:57 
Finishing time for searching pages which have the given search string  2017-08-29 21:01:03 
Starting time for going through each page  2017-08-29 21:01:03 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-29 21:01:03 	 6939574006 		 49 		 2017-08-29 21:01:08 
 2017-08-29 21:01:08 	 327870787270024 		 49 		 2017-08-29 21:01:13 
 2017-08-29 21:01:13 	 377087858977457 		 49 		 2017-08-29 21:01:16 
 2017-08-29 21:01:16 	 12887942787 		 49 		 2017-08-29 21:01:22 
 2017-08-29 21:01:22 	 246344278767961 		 49 		 2017-08-29 21:01:27 
 2017-08-29 21:01:27 	 108276635866785 		 0 		 2017-08-29 21:01:28 
 2017-08-29 21:01:28 	 1445217015723143 		 2 		 2017-08-29 21:01:38 
 2017-08-29 21:01:38 	 243645259169395 		 2 		 2017-08-29 21:01:43 
 2017-08-29 21:01:43 	 303404909824203 		 2 		 2017-08-29 21:01:47 
 2017-08-29 21:01:47 	 140262999339534 		 2 		 2017-08-29 21:01:53 
 2017-08-29 21:01:53 	 381902331832053 		 7 		 2017-08-29 21:02:03 
 2017-08-29 21:02:03 	 108152652539695 		 0 		 2017-08-29 21:02:03 
 2017-08-29 21:02:03 	 186302624823027 		 0 		 2017-08-29 21:02:07 
 2017-08-29 21:02:07 	 104148159620952 		 0 		 2017-08-29 21:02:08 
 2017-08-29 21:02:08 	 489990484427923 		 0 		 2017-08-29 21:02:15 
 2017-08-29 21:02:15 	 377563602306976 		 0 		 2017-08-29 21:02:20 
 2017-08-29 21:02:20 	 157563471080362 		 0 		 2017-08-29 21:02:26 
 2017-08-29 21:02:26 	 188119097891828 		 0 		 2017-08-29 21:02:32 
 2017-08-29 21:02:32 	 1484591551775903 		 0 		 2017-08-29 21:02:35 
 2017-08-29 21:02:35 	 401916276491240 		 0 		 2017-08-29 21:02:43 
 2017-08-29 21:02:43 	 361783163849061 		 14 		 2017-08-29 21:03:03 
 2017-08-29 21:03:03 	 246657068828928 		 301 		 2017-08-29 21:03:37 
 2017-08-29 21:03:37 	 921734577944553 		 301 		 2017-08-29 21:03:43 
 2017-08-29 21:03:43 	 255143574663250 		 301 		 2017-08-29 21:03:47 
 2017-08-29 21:03:47 	 131651236887054 		 301 		 2017-08-29 21:03:50 
 2017-08-29 21:03:50 	 1513930145507080 		 301 		 2017-08-29 21:03:52 
 2017-08-29 21:03:52 	 407804816232894 		 301 		 2017-08-29 21:03:54 
 2017-08-29 21:03:54 	 159335360892316 		 301 		 2017-08-29 21:03:56 
 2017-08-29 21:03:56 	 343037592451332 		 301 		 2017-08-29 21:04:00 
 2017-08-29 21:04:00 	 521308144635170 		 301 		 2017-08-29 21:04:01 
 2017-08-29 21:04:01 	 384501218272370 		 301 		 2017-08-29 21:04:06 
 2017-08-29 21:04:06 	 391010784260979 		 301 		 2017-08-29 21:04:09 
 2017-08-29 21:04:09 	 138770086257711 		 301 		 2017-08-29 21:04:21 
 2017-08-29 21:04:21 	 1504133893155515 		 51 		 2017-08-29 21:04:43 
 2017-08-29 21:04:43 	 112174645466293 		 0 		 2017-08-29 21:04:44 
 2017-08-29 21:04:44 	 981946825254748 		 0 		 2017-08-29 21:04:54 
 2017-08-29 21:04:54 	 18074565974 		 41 		 2017-08-29 21:05:07 
 2017-08-29 21:05:07 	 120792104597554 		 167 		 2017-08-29 21:05:30 
 2017-08-29 21:05:30 	 156215757869508 		 167 		 2017-08-29 21:05:39 
 2017-08-29 21:05:39 	 225034700870481 		 167 		 2017-08-29 21:05:53 
 2017-08-29 21:05:53 	 152901641524353 		 167 		 2017-08-29 21:05:55 
 2017-08-29 21:05:55 	 131295793945502 		 167 		 2017-08-29 21:05:58 
 2017-08-29 21:05:58 	 303322216729299 		 0 		 2017-08-29 21:06:10 
 2017-08-29 21:06:10 	 233085137038271 		 0 		 2017-08-29 21:06:12 
 2017-08-29 21:06:12 	 911634338855575 		 0 		 2017-08-29 21:06:13 
 2017-08-29 21:06:13 	 913250162095996 		 0 		 2017-08-29 21:06:15 
 2017-08-29 21:06:15 	 279874682127187 		 0 		 2017-08-29 21:06:18 
 2017-08-29 21:06:18 	 277421622411743 		 0 		 2017-08-29 21:06:24 
 2017-08-29 21:06:24 	 100900529951459 		 0 		 2017-08-29 21:06:34 
 2017-08-29 21:06:34 	 199285640178427 		 0 		 2017-08-29 21:06:38 
 2017-08-29 21:06:38 	 225453220909909 		 29 		 2017-08-29 21:06:51 
 2017-08-29 21:06:51 	 1744564229148677 		 29 		 2017-08-29 21:06:57 
 2017-08-29 21:06:57 	 242584812420806 		 29 		 2017-08-29 21:07:00 
 2017-08-29 21:07:00 	 231939990196048 		 29 		 2017-08-29 21:07:09 
 2017-08-29 21:07:09 	 175253025982944 		 29 		 2017-08-29 21:07:13 
 2017-08-29 21:07:13 	 747875171922870 		 15 		 2017-08-29 21:07:27 
 2017-08-29 21:07:27 	 249218758581245 		 15 		 2017-08-29 21:07:34 
 2017-08-29 21:07:34 	 254287138093379 		 21 		 2017-08-29 21:07:49 
 2017-08-29 21:07:49 	 210887475680263 		 21 		 2017-08-29 21:07:51 
 2017-08-29 21:07:51 	 417799211618386 		 21 		 2017-08-29 21:07:53 
 2017-08-29 21:07:53 	 130981297027110 		 0 		 2017-08-29 21:08:12 
 2017-08-29 21:08:12 	 799672303424832 		 25 		 2017-08-29 21:08:48 
 2017-08-29 21:08:48 	 1596179723946320 		 25 		 2017-08-29 21:08:51 
 2017-08-29 21:08:51 	 272225066202559 		 25 		 2017-08-29 21:08:54 
 2017-08-29 21:08:54 	 324751317985125 		 25 		 2017-08-29 21:08:58 
 2017-08-29 21:08:58 	 314104378745399 		 25 		 2017-08-29 21:09:11 
 2017-08-29 21:09:11 	 162566257231 		 25 		 2017-08-29 21:09:23 
 2017-08-29 21:09:23 	 135127036518674 		 0 		 2017-08-29 21:09:23 
 2017-08-29 21:09:23 	 685185864834603 		 0 		 2017-08-29 21:09:25 
 2017-08-29 21:09:25 	 147004165734908 		 127 		 2017-08-29 21:10:07 
 2017-08-29 21:10:07 	 109469475746655 		 0 		 2017-08-29 21:10:07 
 2017-08-29 21:10:07 	 329440510529727 		 189 		 2017-08-29 21:10:47 
 2017-08-29 21:10:47 	 968141049923065 		 189 		 2017-08-29 21:10:51 
 2017-08-29 21:10:51 	 124876274324448 		 1 		 2017-08-29 21:11:01 
 2017-08-29 21:11:01 	 159081717826902 		 0 		 2017-08-29 21:11:02 
