 Program starts execution at  2017-08-28 20:39:55 
Authentication starts  2017-08-28 20:39:55 
Authentication completed  2017-08-28 20:39:55 
Starting time for searching pages which have the given search string  Johnson's Baby 2017-08-28 20:39:55 
Finishing time for searching pages which have the given search string  2017-08-28 20:40:00 
Starting time for going through each page  2017-08-28 20:40:00 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-28 20:40:00 	 455456497853339 		 201 		 2017-08-28 20:40:13 
 2017-08-28 20:40:13 	 808983935856626 		 124 		 2017-08-28 20:40:27 
 2017-08-28 20:40:27 	 203430686344252 		 26 		 2017-08-28 20:40:41 
 2017-08-28 20:40:41 	 652009268252477 		 0 		 2017-08-28 20:40:41 
 2017-08-28 20:40:41 	 247011999074396 		 100 		 2017-08-28 20:40:57 
 2017-08-28 20:40:57 	 1401726966819533 		 6 		 2017-08-28 20:41:02 
 2017-08-28 20:41:02 	 242625655858632 		 0 		 2017-08-28 20:41:09 
 2017-08-28 20:41:09 	 347549351998745 		 0 		 2017-08-28 20:41:15 
 2017-08-28 20:41:15 	 242704452480990 		 7 		 2017-08-28 20:41:22 
 2017-08-28 20:41:22 	 493761177354026 		 0 		 2017-08-28 20:41:28 
 2017-08-28 20:41:28 	 197154826973195 		 0 		 2017-08-28 20:41:28 
 2017-08-28 20:41:28 	 132161706910572 		 0 		 2017-08-28 20:41:29 
 2017-08-28 20:41:29 	 107124999410167 		 1 		 2017-08-28 20:41:30 
 2017-08-28 20:41:30 	 498893983603624 		 0 		 2017-08-28 20:41:31 
 2017-08-28 20:41:31 	 157549494431366 		 0 		 2017-08-28 20:41:31 
 2017-08-28 20:41:31 	 1020729644637153 		 0 		 2017-08-28 20:41:32 
 2017-08-28 20:41:32 	 687849647974316 		 0 		 2017-08-28 20:41:32 
 2017-08-28 20:41:32 	 205521639608486 		 15 		 2017-08-28 20:41:37 
 2017-08-28 20:41:37 	 60542426445 		 0 		 2017-08-28 20:41:37 
 2017-08-28 20:41:37 	 1720562898180925 		 0 		 2017-08-28 20:41:38 
 2017-08-28 20:41:38 	 105356986315585 		 0 		 2017-08-28 20:41:39 
 2017-08-28 20:41:39 	 574905775932643 		 0 		 2017-08-28 20:41:39 
 2017-08-28 20:41:39 	 166868629999476 		 0 		 2017-08-28 20:41:40 
 2017-08-28 20:41:40 	 212772162411121 		 419 		 2017-08-28 20:42:02 
 2017-08-28 20:42:02 	 1708063029506547 		 0 		 2017-08-28 20:42:02 
 2017-08-28 20:42:02 	 213036415453390 		 0 		 2017-08-28 20:42:03 
 2017-08-28 20:42:03 	 205777789477668 		 0 		 2017-08-28 20:42:04 
 2017-08-28 20:42:04 	 1491765184375251 		 9 		 2017-08-28 20:42:12 
 2017-08-28 20:42:12 	 1530243863869586 		 0 		 2017-08-28 20:42:19 
