 Program starts execution at  2017-08-27 20:23:30 
Authentication starts  2017-08-27 20:23:30 
Authentication completed  2017-08-27 20:23:30 
Starting time for searching pages which have the given search string  Johnson's Baby 2017-08-27 20:23:30 
Finishing time for searching pages which have the given search string  2017-08-27 20:23:34 
Starting time for going through each page  2017-08-27 20:23:34 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-27 20:23:34 	 455456497853339 		 201 		 2017-08-27 20:23:46 
 2017-08-27 20:23:46 	 808983935856626 		 124 		 2017-08-27 20:24:02 
 2017-08-27 20:24:02 	 203430686344252 		 26 		 2017-08-27 20:24:15 
 2017-08-27 20:24:15 	 652009268252477 		 0 		 2017-08-27 20:24:15 
 2017-08-27 20:24:15 	 247011999074396 		 100 		 2017-08-27 20:24:30 
 2017-08-27 20:24:30 	 1401726966819533 		 6 		 2017-08-27 20:24:34 
 2017-08-27 20:24:34 	 242625655858632 		 0 		 2017-08-27 20:24:41 
 2017-08-27 20:24:41 	 347549351998745 		 0 		 2017-08-27 20:24:47 
 2017-08-27 20:24:47 	 242704452480990 		 7 		 2017-08-27 20:24:55 
 2017-08-27 20:24:55 	 493761177354026 		 0 		 2017-08-27 20:25:00 
 2017-08-27 20:25:00 	 197154826973195 		 0 		 2017-08-27 20:25:00 
 2017-08-27 20:25:00 	 132161706910572 		 0 		 2017-08-27 20:25:01 
 2017-08-27 20:25:01 	 107124999410167 		 1 		 2017-08-27 20:25:02 
 2017-08-27 20:25:02 	 498893983603624 		 0 		 2017-08-27 20:25:02 
 2017-08-27 20:25:02 	 157549494431366 		 0 		 2017-08-27 20:25:03 
 2017-08-27 20:25:03 	 1020729644637153 		 0 		 2017-08-27 20:25:03 
 2017-08-27 20:25:03 	 687849647974316 		 0 		 2017-08-27 20:25:04 
 2017-08-27 20:25:04 	 205521639608486 		 15 		 2017-08-27 20:25:07 
 2017-08-27 20:25:07 	 60542426445 		 0 		 2017-08-27 20:25:08 
 2017-08-27 20:25:08 	 105356986315585 		 0 		 2017-08-27 20:25:09 
 2017-08-27 20:25:09 	 1720562898180925 		 0 		 2017-08-27 20:25:09 
 2017-08-27 20:25:09 	 574905775932643 		 0 		 2017-08-27 20:25:09 
 2017-08-27 20:25:09 	 166868629999476 		 0 		 2017-08-27 20:25:10 
 2017-08-27 20:25:10 	 212772162411121 		 419 		 2017-08-27 20:25:32 
 2017-08-27 20:25:32 	 1708063029506547 		 0 		 2017-08-27 20:25:32 
 2017-08-27 20:25:32 	 213036415453390 		 0 		 2017-08-27 20:25:33 
 2017-08-27 20:25:33 	 205777789477668 		 0 		 2017-08-27 20:25:33 
 2017-08-27 20:25:33 	 1491765184375251 		 9 		 2017-08-27 20:25:41 
 2017-08-27 20:25:41 	 1530243863869586 		 0 		 2017-08-27 20:25:45 
 2017-08-27 20:25:45 	 321223041335100 		 0 		 2017-08-27 20:25:45 
 2017-08-27 20:25:45 	 153847324699492 		 0 		 2017-08-27 20:25:46 
 2017-08-27 20:25:46 	 36963887480 		 0 		 2017-08-27 20:25:46 
 2017-08-27 20:25:46 	 313184555397998 		 0 		 2017-08-27 20:25:51 
 2017-08-27 20:25:51 	 108212848003 		 0 		 2017-08-27 20:25:51 
 2017-08-27 20:25:51 	 1724427351113668 		 0 		 2017-08-27 20:25:52 
 2017-08-27 20:25:52 	 789556444463063 		 0 		 2017-08-27 20:25:52 
 2017-08-27 20:25:52 	 414310885279935 		 4 		 2017-08-27 20:25:53 
 2017-08-27 20:25:53 	 1422773061271934 		 0 		 2017-08-27 20:25:53 
 2017-08-27 20:25:53 	 229613277456859 		 0 		 2017-08-27 20:25:54 
 2017-08-27 20:25:54 	 1160788137398442 		 0 		 2017-08-27 20:25:54 
